sortRank,ref,totalVotes,code_read,verbatim_score,note
1,konbu17/jed-attack-exp093,8,yes,,
2,outliar/agi-exfil-160-gpt500-gem2000-sub,1,yes,,
3,sebastianmateus/replayforge-k8-correctness-router-0824,1,yes,,
4,aleaiest/aisec-n38urllast,1,yes,,
5,xiangwaaaaa/notebook93b16cbbf4,0,yes,,
6,hiranorm/publiclb-95-130-privatelb-0-00-aas-mf-k8-ff-test,1,yes,,
7,samwiz/aas-v15-gpu,1,yes,,
8,nkosindwandwe/jed-attack-multi-step,0,yes,,
9,merkiraz/v8-hybrid-frame-gpt-oss-biraz-daha-agresif-r,0,yes,,
10,merkiraz/jed-v35-uniquecellmax-v1,0,yes,,
11,foysalemonshanto/ai-agent-security-v15,546,yes,90.54,
12,eugeneyeung/ai-agent-security-fillmax-m34-f099,4,yes,,
13,sirikilohit/agent-sec-tool-atk-v170-winner,0,yes,,
14,aqibrazadev/maximum-throughput-attack-code,1,yes,,
15,evgendvorkin/ai-agent,371,yes,,
16,malikhammadfarooq/jed-attack-v38-slowest-1-29,0,yes,,
17,foysalemonshanto/ai-agent-security-v12,317,yes,,
18,nctuan/jed-v25,170,yes,89.145,
19,dimong4/ai-agent-security,426,yes,,
20,kaiwalyaatulraut/ai-agent-security-solution,122,yes,,
21,adhirajjagtap/probe-and-flood-strategy,116,yes,88.695,
22,danischaparov/ai-agent-security-v12,1,yes,,
23,farbricated/confused-deputy,1,yes,,
24,canqiang/aiagsec-ea-b-0721,273,yes,,
25,tetsutani/ai-agent-sec-adaptive-uniform-two-probe-recovery,217,yes,88.47,
26,kaiwalyaatulraut/ai-agent-security-competition-solution,135,yes,,
27,anasriaz/ai-agent-security,108,yes,,
28,rokaiyasomapti/ai-agent-sec-another-approach-resubmission,142,yes,,
29,haodou092/notebookcb9f3b04b6,106,yes,,
30,maqsoudtawaliou/aas-attack-exp9,0,yes,,
31,nctuan/jed-slow-multipost,154,yes,86.605,
