ref,title,author,lastRunTime,totalVotes,sortRank
konbu17/jed-attack-exp093,JED Attack exp093,konbu17,2026-09-01T10:04:00.577000,8,1
outliar/agi-exfil-160-gpt500-gem2000-sub,agi-exfil-160-gpt500-gem2000_sub,Mohammad Shadab Alam,2026-08-28T09:30:23.303000,1,2
sebastianmateus/replayforge-k8-correctness-router-0824,ReplayForge K8 Correctness Router 0824,Sebastian Mateus,2026-08-24T12:01:18.267000,1,3
aleaiest/aisec-n38urllast,aisec-n38urllast,Taewoong Kim,2026-08-27T05:03:16.953000,1,4
xiangwaaaaa/notebook93b16cbbf4,notebook93b16cbbf4,xiang W,2026-08-31T00:16:59.620000,0,5
hiranorm/publiclb-95-130-privatelb-0-00-aas-mf-k8-ff-test,"[publicLB:95.130,privateLB:0.00]aas-mf-k8-ff-test",Hira Norm,2026-08-20T08:54:20.353000,1,6
samwiz/aas-v15-gpu,AAS v15 GPU,Sam-wiz,2026-09-01T05:32:59.570000,1,7
nkosindwandwe/jed-attack-multi-step,JED Attack Multi-Step,The light that shines,2026-08-15T19:29:33.370000,0,8
merkiraz/v8-hybrid-frame-gpt-oss-biraz-daha-agresif-r,v8 hybrid + FRAME (gpt_oss) + biraz daha agresif R,ömer kiraz,2026-08-29T17:18:33.907000,0,9
merkiraz/jed-v35-uniquecellmax-v1,jed-v35-uniquecellmax-v1,ömer kiraz,2026-09-01T07:09:23.720000,0,10
foysalemonshanto/ai-agent-security-v15,AI Agent Security V15,FOYSAL,2026-08-04T17:40:16.763000,546,11
eugeneyeung/ai-agent-security-fillmax-m34-f099,AI Agent Security fillmax_m34_f099,EUGENEYEUNG,2026-09-02T12:31:36.373000,4,12
sirikilohit/agent-sec-tool-atk-v170-winner,agent_sec_tool_atk_v170_winner,rellik13,2026-08-30T16:21:31.337000,0,13
aqibrazadev/maximum-throughput-attack-code,MAXIMUM THROUGHPUT Attack Code,Aqib Raza,2026-09-01T20:39:57.237000,1,14
evgendvorkin/ai-agent,AI Agent,Дворкин Евгений Владимирович,2026-08-31T18:06:32.470000,371,15
malikhammadfarooq/jed-attack-v38-slowest-1-29,Jed Attack V38: Slowest 1.29,Hammad Farooq,2026-08-30T06:26:50.647000,0,16
foysalemonshanto/ai-agent-security-v12,AI Agent Security V12,FOYSAL,2026-07-25T04:07:34.263000,317,17
nctuan/jed-v25,JED - v25,Nguyễn Công Tuấn,2026-07-30T03:55:44.803000,170,18
dimong4/ai-agent-security,AI Agent Security,Dmitry Belan,2026-08-16T14:45:13.587000,426,19
kaiwalyaatulraut/ai-agent-security-solution,AI Agent Security Solution,KAIWALYA RAUT,2026-07-23T15:37:26.337000,122,20
adhirajjagtap/probe-and-flood-strategy,Probe-and-Flood Strategy,Adhiraj Jagtap,2026-08-22T04:44:26.357000,116,21
danischaparov/ai-agent-security-v12,AI Agent Security V12,karnezz,2026-09-01T10:46:57.247000,1,22
farbricated/confused-deputy,Confused Deputy,Farbricated,2026-08-16T15:39:37.953000,1,23
canqiang/aiagsec-ea-b-0721,AIAgSec Ea B 0721,Xander,2026-07-21T06:31:44.707000,273,24
tetsutani/ai-agent-sec-adaptive-uniform-two-probe-recovery,AI Agent Sec Adaptive Uniform Two Probe Recovery,tetsu2131,2026-07-26T16:45:41.237000,217,25
kaiwalyaatulraut/ai-agent-security-competition-solution,AI Agent Security Competition Solution,KAIWALYA RAUT,2026-08-13T11:37:47.210000,135,26
anasriaz/ai-agent-security,AI Agent Security ,Anas Riaz,2026-08-29T19:06:44.697000,108,27
rokaiyasomapti/ai-agent-sec-another-approach-resubmission,AI Agent Sec | Another Approach (Resubmission),RS,2026-07-18T00:45:20.977000,142,28
haodou092/notebookcb9f3b04b6,notebookcb9f3b04b6,haodou092,2026-07-18T12:06:16.493000,106,29
maqsoudtawaliou/aas-attack-exp9,AAS Attack Exp9,Maqsoud Tawaliou,2026-08-16T05:48:42.573000,0,30
nctuan/jed-slow-multipost,JED - Slow multipost,Nguyễn Công Tuấn,2026-08-04T03:37:04.947000,154,31
haodou092/conservative-replay-safe-sizing,Conservative Replay-Safe Sizing,haodou092,2026-07-20T01:52:09.413000,124,32
lopure/jed-multi-step-attack-relay-push100,JED Multi Step Attack RELAY PUSH100,Who am I?,2026-08-30T02:30:45.927000,69,33
naveenvenubagadi/ai-agent-security-exfil-primary-v2,AI Agent Security - Exfil Primary v2,Naveen Venu Bagadi,2026-08-23T17:35:12.310000,0,34
yusuketogashi/ai-agent-sec-another-approach,AI Agent Sec | Another Approach 🧭,Yusuke Togashi,2026-07-19T21:31:40.777000,182,35
anvithpothula/aisec-pilk,AISec Pilk,Anvith Pothula,2026-07-21T19:11:34.547000,86,36
caoyupeng/jed-multi-step-attack-2,JED Multi Step Attack 2,SpeedSci,2026-07-16T18:27:54.517000,33,37
diladiclekeke/working-note-ai-agent-security,Working Note AI Agent Security,dila dicle kekec,2026-08-31T21:38:34.357000,0,38
pilkwang/ai-agent-v3-1-2-single-post-exfiltration,AI Agent v3.1.2 - Single-Post Exfiltration,Pilkwang Kim,2026-07-24T06:05:01.873000,189,39
